"","name","longitude","latitude","scientificName","genus","species","dateIdentified","elevation","stateProvince","year","month","day","eventDate","countryCode","eventTime","endDayOfYear"
"221","Aeshna cyanea",6.90484,53.267845,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-18T08:05:54",NA,"Groningen",2020,7,18,2020-07-18,"NL","08:05:21Z",NA
"225","Aeshna cyanea",3.381725,51.35141,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-22T19:07:13",NA,"Zeeland",2020,7,20,2020-07-20,"NL","12:12:14Z",NA
"229","Aeshna cyanea",14.216396,47.4117,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-23T16:43:56",NA,"Steiermark",2020,7,20,2020-07-20,"AT","11:07:23Z",NA
"231","Aeshna cyanea",9.636572,45.773589,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-21T19:51:44",NA,"Lombardia",2020,7,21,2020-07-21,"IT","15:57:00Z",NA
"248","Aeshna cyanea",5.136703,51.582138,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-20T11:35:39",NA,"Noord-Brabant",2020,7,20,2020-07-20,"NL","09:06:58Z",NA
"250","Aeshna cyanea",9.637575,45.773941,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-21T19:51:44",NA,"Lombardia",2020,7,21,2020-07-21,"IT","16:23:00Z",NA
"253","Aeshna cyanea",9.655894,45.770409,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-21T19:45:06",NA,"Lombardia",2020,7,21,2020-07-21,"IT","14:13:00Z",NA
"265","Aeshna cyanea",9.337667,45.788912,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-29T16:45:10",NA,"Lombardia",2020,7,20,2020-07-20,"IT","11:36:49Z",NA
"266","Aeshna cyanea",11.181881,46.198786,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-24T16:28:04",NA,"Trentino-Alto Adige",2020,7,23,2020-07-23,"IT","14:47:21Z",NA
"269","Aeshna cyanea",9.465366,52.20053,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-29T15:41:00",NA,"Niedersachsen",2020,7,29,2020-07-29,"DE","15:39:22Z",NA
"276","Aeshna cyanea",7.952905,45.545992,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-28T22:08:24",NA,"Piemonte",2020,7,22,2020-07-22,"IT",NA,NA
"279","Aeshna cyanea",11.557792,48.097756,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-31T15:49:40",NA,"Bayern",2020,7,31,2020-07-31,"DE","15:30:01Z",NA
"288","Aeshna cyanea",9.629531,45.778214,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-29T17:02:35",NA,"Lombardia",2020,7,29,2020-07-29,"IT","14:48:00Z",NA
"291","Aeshna cyanea",6.04414,49.997046,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-27T16:18:05",NA,"Diekirch",2020,7,27,2020-07-27,"LU","15:34:28Z",NA
"293","Aeshna cyanea",11.237213,46.64535,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-27T20:29:18",NA,"Trentino-Alto Adige",2020,7,27,2020-07-27,"IT","14:03:00Z",NA
"296","Aeshna cyanea",8.730931,45.849601,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-30T17:18:53",NA,"Lombardia",2020,7,30,2020-07-30,"IT","14:25:00Z",NA
"299","Aeshna cyanea",7.114797,50.683106,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-24T15:28:07",NA,"Nordrhein-Westfalen",2020,7,24,2020-07-24,"DE","12:40:00Z",NA
"300","Aeshna cyanea",8.533057,50.20586,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-27T07:19:58",NA,"Hessen",2020,7,26,2020-07-26,"DE","15:38:00Z",NA
