"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"296","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.730931,45.849601,NA,"IT","Lombardia",30,7,2020,2020-07-30,NA
"299","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.114797,50.683106,NA,"DE","Nordrhein-Westfalen",24,7,2020,2020-07-24,NA
"300","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.533057,50.20586,NA,"DE","Hessen",26,7,2020,2020-07-26,NA
"311","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.81214,43.09854,NA,"FR","Languedoc-Roussillon",28,7,2020,2020-07-28,NA
"318","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.915754,50.760349,NA,"DE","Sachsen",29,7,2020,2020-07-29,NA
"322","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.74901,47.758879,NA,"DE","Bayern",27,7,2020,2020-07-27,NA
"323","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.543307,50.166109,NA,"DE","Hessen",30,7,2020,2020-07-30,NA
"325","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.632604,45.772828,NA,"IT","Lombardia",29,7,2020,2020-07-29,NA
"430","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.164751,52.222255,NA,"NL","Noord-Holland",17,7,2020,2020-07-17,NA
"441","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.019156,47.757202,NA,"FR","Alsace",19,7,2020,2020-07-19,NA
"901","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.783411,50.629879,NA,"BE","Wallonie",3,8,2020,2020-08-03,NA
"902","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.245464,49.993543,NA,"DE","Rheinland-Pfalz",4,8,2020,2020-08-04,NA
"905","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.245703,49.993488,NA,"DE","Rheinland-Pfalz",4,8,2020,2020-08-04,NA
"907","Aeshna cyanea","Aeshna cyanea Müller, 1764",-1.745752,48.206964,NA,"FR","Bretagne",11,8,2020,2020-08-11,NA
"908","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.783409,50.629823,NA,"BE","Wallonie",13,8,2020,2020-08-13,NA
"910","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.835473,54.698457,NA,"DE","Schleswig-Holstein",16,8,2020,2020-08-16,NA
"913","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.362413,48.193046,NA,"DE","Bayern",5,8,2020,2020-08-05,NA
"914","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.690563,45.859363,NA,"IT","Trentino-Alto Adige",9,8,2020,2020-08-09,NA
"917","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.716688,44.227206,NA,"IT","Emilia-Romagna",9,8,2020,2020-08-09,NA
"918","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.869745,52.321527,NA,"DE","Niedersachsen",9,8,2020,2020-08-09,NA
"921","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.75198,48.419829,NA,"DE","Bayern",9,8,2020,2020-08-09,NA
"926","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.637665,45.773939,NA,"IT","Lombardia",6,8,2020,2020-08-06,NA
"938","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.609225,48.414514,NA,"DE","Bayern",9,8,2020,2020-08-09,NA
"939","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.685511,50.838978,NA,"NL","Limburg",11,8,2020,2020-08-11,NA
"947","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.364818,52.401412,NA,"DE","Berlin",16,8,2020,2020-08-16,NA
"949","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.868972,51.011258,NA,"NL","Limburg",17,8,2020,2020-08-17,NA
"952","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.925103,50.028377,NA,"DE","Hessen",5,8,2020,2020-08-05,NA
"955","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.981661,51.997403,NA,"NL","Gelderland",15,8,2020,2020-08-15,NA
"960","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.404198,47.642332,NA,"AT","Tirol",18,8,2020,2020-08-18,NA
"962","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.13697,51.582262,NA,"NL","Noord-Brabant",17,8,2020,2020-08-17,NA
"971","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.201845,48.597492,NA,"DE","Baden-Württemberg",5,8,2020,2020-08-05,NA
