"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","individualCount","continent","vernacularName","dataGeneralizations","locality","samplingProtocol","higherClassification","occurrenceRemarks","informationWithheld","county","municipality","identificationVerificationStatus","language","type","taxonConceptID","behavior","endDayOfYear","startDayOfYear","datasetID","accessRights","sex","lifeStage","identificationRemarks","dynamicProperties","associatedReferences","locationID","fieldNotes","footprintWKT","habitat","elevation","coordinatePrecision","eventID","originalNameUsage","nameAccordingTo","elevationAccuracy","projectId","nomenclaturalCode","georeferenceRemarks","eventRemarks","parentEventID","institutionID","ownerInstitutionCode"
"4046","Aeshna cyanea",7.045915,52.430786,"cdround,gass84","gbif","2439787483","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:52.565+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,25,NA,2019,8,28,2019-08-28,NA,"2020-09-02T07:22:52.565+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787483",NA,NA,NA,"-775350448","-383033776",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"TK25 Blatt 3508/3 - Nordhorn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4047","Aeshna cyanea",7.045574,52.430878,"cdround,gass84","gbif","2439787493","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:48.946+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,25,NA,2019,8,27,2019-08-27,NA,"2020-09-02T07:22:48.946+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787493",NA,NA,NA,"907995092","-383033776",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"TK25 Blatt 3508/3 - Nordhorn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4048","Aeshna cyanea",11.94411,49.847939,"cdround,gass84","gbif","2439787499","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:28.525+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,28,2019-08-28,NA,"2020-09-02T07:22:28.525+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787499",NA,NA,NA,"-1370983030","1727487769",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Feldmark mit Weihern Bächen zw. Atzmannsberger Forst, Köglitzer Kusch und S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4049","Aeshna cyanea",8.740654,53.689999,"cdround,gass84","gbif","2439787500","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:08.285+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,26,2019-08-26,NA,"2020-09-02T07:22:08.285+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787500",NA,NA,NA,"591987177","1899762913",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Ahlenmoor / Neuenwalde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4050","Aeshna cyanea",9.405306,50.22464,"cdround,gass84","gbif","2439787518","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:24.312+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,28,2019-08-28,NA,"2020-09-02T07:22:24.312+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787518",NA,NA,NA,"-762484085","-1284495155",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Haselruhe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4051","Aeshna cyanea",7.596037,50.45417,"cdround,gass84","gbif","2439787528","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:52.363+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,27,2019-08-27,NA,"2020-09-02T07:22:52.363+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787528",NA,NA,NA,"1310439876","605694170",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Bendorf-Stromberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4052","Aeshna cyanea",6.156889,50.856415,"cdround,gass84","gbif","2439787536","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:40.406+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,27,2019-08-27,NA,"2020-09-02T07:22:40.406+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787536",NA,NA,NA,"-1421964961","-1868421630",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Garten mit Haus in Ofden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4053","Aeshna cyanea",10.150166,53.73597,"cdround,gass84","gbif","2439787577","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:55.805+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,27,2019-08-27,NA,"2020-09-02T07:22:55.805+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787577",NA,NA,NA,"1379165750","1647598034",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Wiemerskamper Wiesen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4054","Aeshna cyanea",8.967325,49.682655,"cdround,gass84","gbif","2439787611","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:23.284+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,30,2019-08-30,NA,"2020-09-02T07:22:23.284+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787611",NA,NA,NA,"-519309054","172895597",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Beim See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4055","Aeshna cyanea",10.150166,53.73597,"cdround,gass84","gbif","2439787633","Aeshna cyanea Müller, 1764","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:00.563+0000",138,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED",NA,250,NA,2019,8,31,2019-08-31,NA,"2020-09-02T07:22:00.563+0000",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,NA,NA,NA,NA,"naturgucker","2439787633",NA,NA,NA,"223999425","1647598034",NA,"naturgucker",NA,NA,NA,NA,NA,NA,NA,NA,"Wiemerskamper Wiesen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
